gameId,gameDuration,goldDiff,expDiff,champLevelDiff,isFirstTower,isFirstBlood,killedFireDrake,killedWaterDrake,killedAirDrake,killedEarthDrake,killedElderDrake,lostFireDrake,lostWaterDrake,lostAirDrake,lostEarthDrake,lostElderDrake,killedBaronNashor,lostBaronNashor,killedRiftHerald,lostRiftHerald,destroyedTopInhibitor,destroyedMidInhibitor,destroyedBotInhibitor,lostTopInhibitor,lostMidInhibitor,lostBotInhibitor,destroyedTopNexusTurret,destroyedBotNexusTurret,lostTopNexusTurret,lostBotNexusTurret,destroyedTopBaseTurret,destroyedMidBaseTurret,destroyedBotBaseTurret,lostTopBaseTurret,lostMidBaseTurret,lostBotBaseTurret,destroyedTopInnerTurret,destroyedMidInnerTurret,destroyedBotInnerTurret,lostTopInnerTurret,lostMidInnerTurret,lostBotInnerTurret,destroyedTopOuterTurret,destroyedMidOuterTurret,destroyedBotOuterTurret,lostTopOuterTurret,lostMidOuterTurret,lostBotOuterTurret,kills,deaths,assists,wardsPlaced,wardsDestroyed,wardsLost
4531492279,2378000,-10206,-13953,-1,1,1,0,0,1,1,0,1,0,0,3,0,0,2,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,43,53,69,87,29,22
4393949807,665000,-8200,-7309,-2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,8,1,10,0,3
4542305594,1103000,-12208,-7926,-1.4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,9,20,5,26,7,10
4539299745,1652000,-12270,-14034,-1.8,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,1,0,0,1,1,1,0,21,33,29,129,14,18
4388191105,1148000,-14712,-12823,-2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,6,25,7,44,10,15
4419054259,1719000,6017,10114,1.4,1,1,0,1,0,1,0,1,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,24,17,51,96,16,28
4457188716,1747000,14089,15832,2.2,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,27,12,37,61,29,13
4543599945,1271000,-7633,-10285,-1.4,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,20,30,24,39,9,5
4399447820,2176000,6729,13130,1.4,1,1,1,0,2,1,1,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,33,22,61,227,49,26
4538935474,1380000,-11634,-11696,-1.8,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,25,36,37,32,8,7
4547022933,2110000,8892,17653,1.2,1,1,0,3,0,0,0,0,0,1,1,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,31,29,39,87,24,25
4425967311,1705000,9092,8429,0.6,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,30,17,39,63,18,20
4488996454,2408000,-8080,-6049,-0.6,1,1,0,1,0,0,1,1,2,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,1,1,29,39,41,110,36,40
4536263020,2112000,13124,15079,1.4,1,1,1,0,1,1,0,1,0,0,0,0,2,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,26,16,46,68,35,25
4530783719,2243000,10349,15202,1.6,1,1,1,0,3,0,0,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,41,20,77,114,31,29
4546746305,1932000,3266,9280,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,28,30,43,54,16,11
4505577663,1376000,13145,9241,1.4,1,1,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,36,13,34,35,8,5
4369339642,706000,-8123,-3844,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,3,12,4,47,0,1
4529237073,1313000,12741,12721,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,28,13,31,274,11,45
4543764434,2048000,4645,1057,0,1,1,0,1,2,1,1,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,58,39,103,55,19,10
4378087106,1498000,-8973,-14944,-2.4,1,1,0,0,0,0,0,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,12,23,10,138,11,37
4486663361,1952000,6740,10477,1,1,1,2,0,0,0,0,1,1,1,0,0,1,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,48,31,65,331,17,18
4432913885,1399000,-2227,-6568,-1.2,1,1,0,0,0,0,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,14,20,22,36,12,12
4522144513,1401000,10691,8904,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,24,13,19,38,9,8
4538236088,1625000,12567,12972,1.6,1,1,1,1,0,1,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,32,17,47,50,25,11
4473855767,937000,-8276,-7806,-1.4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,18,5,25,5,2
